time_seconds,mfcc_00,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,delta_mfcc_00,delta_mfcc_01,delta_mfcc_02,delta_mfcc_03,delta_mfcc_04,delta_mfcc_05,delta_mfcc_06,delta_mfcc_07,delta_mfcc_08,delta_mfcc_09,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta_mfcc_14,delta_mfcc_15,delta_mfcc_16,delta_mfcc_17,delta_mfcc_18,delta_mfcc_19,zcr,spectral_flux,energy_norm,flux_norm,zcr_norm,is_flux_peak
0.0,-127.765205,8.077298,15.098843,9.847283,13.563171,12.654577,4.9989634,1.6604321,-5.7703543,-1.491001,-1.9632069,2.511397,-13.301709,-10.212133,3.8584201,-5.728307,6.1346183,3.7840781,3.1823692,3.4742892,-39.7656,13.135131,10.816687,8.986824,5.7741933,4.8173294,3.6544356,1.9486746,0.6670059,-1.3640494,-2.1094832,-2.3799767,-1.728735,-1.8072284,-2.0439622,-0.34603584,-1.1973745,0.53052557,1.3255085,1.7967296,0.17,0.0,0.27942312,0.0,1.0,False
0.01,-116.03768,13.019077,25.117846,20.836319,21.226913,12.709578,8.594884,8.381731,1.8783712,0.049982682,4.304218,6.684781,1.5567272,-10.461821,-7.0147514,-6.9101515,4.2498283,-0.405703,-10.008436,-9.908012,-39.7656,13.135131,10.816687,8.986824,5.7741933,4.8173294,3.6544356,1.9486746,0.6670059,-1.3640494,-2.1094832,-2.3799767,-1.728735,-1.8072284,-2.0439622,-0.34603584,-1.1973745,0.53052557,1.3255085,1.7967296,0.22,0.057312973,0.42077106,0.77746344,1.0,False
0.02,-152.04974,31.009361,33.501137,38.601463,31.408752,25.447824,12.687029,11.1014595,3.3734956,-3.1230426,-6.3158092,-7.625148,6.605302,1.388851,-2.4681268,-9.228191,-3.4847784,-7.6200695,-13.802126,-7.695779,-39.7656,13.135131,10.816687,8.986824,5.7741933,4.8173294,3.6544356,1.9486746,0.6670059,-1.3640494,-2.1094832,-2.3799767,-1.728735,-1.8072284,-2.0439622,-0.34603584,-1.1973745,0.53052557,1.3255085,1.7967296,0.1125,0.07837118,0.5484407,1.0,0.8395523,True
0.03,-211.16508,33.124542,53.117867,56.65666,50.798824,32.36531,21.979046,-0.86679447,-14.946325,-10.645166,-10.149527,-5.3557644,-2.8158083,-7.2521496,2.2642002,-6.121977,-6.745834,-5.6972113,-14.885551,-4.5423756,-39.7656,13.135131,10.816687,8.986824,5.7741933,4.8173294,3.6544356,1.9486746,0.6670059,-1.3640494,-2.1094832,-2.3799767,-1.728735,-1.8072284,-2.0439622,-0.34603584,-1.1973745,0.53052557,1.3255085,1.7967296,0.0275,0.07784438,0.67700225,1.0,0.2052239,False
0.04,-238.65768,65.33502,57.373093,53.891052,44.846718,37.151375,22.044338,12.955398,-0.20408311,-15.921816,-9.977501,-7.7798986,-7.729794,-4.2117414,-3.2501135,-2.3473315,-2.07217,-4.246594,-5.1193523,-5.2563562,-39.7656,13.135131,10.816687,8.986824,5.7741933,4.8173294,3.6544356,1.9486746,0.6670059,-1.3640494,-2.1094832,-2.3799767,-1.728735,-1.8072284,-2.0439622,-0.34603584,-1.1973745,0.53052557,1.3255085,1.7967296,0.015,0.06515249,0.79426306,0.88380826,0.1119403,False
0.05,-283.72482,73.846,66.84715,58.56189,48.86431,40.950706,26.35483,14.641495,8.303471,1.7116449,-8.547138,-24.412632,-19.44696,-9.126995,-11.939694,-16.147167,2.9509654,2.7667878,6.8371153,0.09811795,-42.89549,13.243246,10.355661,7.5960298,5.544567,4.698347,2.9318302,1.1587393,-0.078221306,-1.3373466,-1.969255,-2.3545542,-3.284355,-1.9665171,-0.89378506,0.67248565,-0.6881431,0.9200091,1.7945675,1.7628986,0.015,0.040325478,0.8661382,0.54702425,0.1119403,False
0.06,-340.46948,82.75181,89.56807,71.21278,49.635895,38.9682,35.31345,18.509747,3.5258837,-12.125425,-12.448933,-7.7439575,-13.348434,-16.40521,-14.280649,-12.334452,-9.851999,4.889471,2.1648443,6.4958267,-43.261852,13.120283,10.911803,6.6067944,4.5415325,3.3781548,1.6599414,0.73585945,-0.015348831,-0.28006312,-1.40528,-1.5273595,-3.433917,-2.3852792,-0.45986074,1.1003549,0.24750477,1.044206,1.7197284,1.1371312,0.0125,0.031799246,0.9209733,0.43136397,0.09328359,False
0.07,-373.90378,95.61505,90.12753,77.496,52.90978,46.322952,30.602692,22.162891,-1.1307623,-13.087212,-8.111084,-8.831535,-13.51264,-20.172203,-19.625896,-13.72131,-8.290679,4.4724708,8.50423,10.663015,-41.758434,12.942123,10.310143,6.516667,4.114195,2.5909152,0.61184186,0.22221835,0.015803393,-0.053920325,-1.251201,-1.3982337,-2.042065,-1.1898402,-0.15560909,1.0249326,0.5278916,0.41039658,1.0839316,0.7398525,0.0125,0.016734244,0.955746,0.22700381,0.09328359,False
0.08,-418.49982,107.1057,97.12609,85.37291,67.78398,50.797947,30.902485,12.973465,0.6029413,-10.686859,-21.628014,-16.727394,-13.796053,-20.672031,-7.885419,-1.7510478,-1.6612074,-0.28743863,-4.233655,6.7410364,-39.240788,11.027695,9.667474,6.8826203,4.8002,2.119278,0.16902882,-1.1133454,-1.344851,-0.39137408,-1.3052241,-0.93625814,-1.0149443,-0.5750133,0.61806995,1.1497697,0.3905603,-0.0048602563,0.116985336,0.32187107,0.0125,0.011882004,0.9779977,0.16118208,0.09328359,False
0.09,-452.81018,118.99607,106.18047,84.948074,74.86123,56.739162,31.281643,11.455387,-5.057306,-14.065428,-14.151817,-20.077946,-25.654503,-13.905521,-2.6558762,3.8657217,-4.7226157,0.526103,-3.7822168,-4.8328867,-33.6103,9.89458,8.092881,6.203321,4.5492716,1.7583332,-0.33437914,-1.4411896,-1.6485349,-1.1425817,-1.2461245,-0.4768855,-0.16779664,0.4093565,1.1453601,1.5868818,0.5530386,-0.43505028,-0.3631766,-0.31740853,0.0125,0.0055411854,0.9913172,0.07516743,0.09328359,False
0.1,-507.2779,137.08237,131.68463,96.01036,69.00494,49.67341,25.118164,11.008332,-2.3184555,-3.6765575,-18.677048,-18.91543,-26.224882,-18.40886,-1.4367776,-1.1182485,1.3153093,0.9695371,2.8066716,0.93915176,-26.761545,8.131336,6.0859447,5.0101767,4.030475,1.4498943,-0.5666755,-1.5210719,-1.1120077,-0.41900456,-0.9203723,-1.2439322,-0.19891779,1.067598,0.9829118,0.8760797,1.111917,-0.3544293,0.05685916,-0.61418045,0.0125,0.006330135,0.9980179,0.085869715,0.09328359,False
0.11,-532.0262,144.78238,130.4802,106.08405,76.857605,50.985847,27.490639,6.903904,-5.7123713,-13.10902,-17.295773,-17.899105,-16.35979,-10.995945,-7.670655,-4.322095,0.42102253,-1.038791,2.3381948,4.3129807,-20.438082,5.889955,4.8975067,4.049264,3.054273,0.79245794,-0.057617854,-1.1443529,-0.7156083,-0.5739435,-0.7749858,-0.75978416,0.17210284,1.1235601,0.5249953,0.26593912,0.67142266,-0.054692917,0.18459924,-0.3984503,0.0125,0.005755471,0.99974763,0.07807427,0.09328359,False
0.12,-537.91266,144.53763,129.5889,107.22693,80.682365,53.45753,28.655819,8.485993,-5.9611616,-14.656808,-18.370146,-18.311577,-15.795647,-12.000074,-7.8452845,-3.9744496,-0.79197866,1.4812452,2.760316,3.0628757,-13.696737,3.5828466,3.0207462,2.9983618,1.8746833,0.5877731,0.2664078,-0.21276067,-0.5031211,-0.7716483,-0.22451623,-0.28164145,0.46514863,0.6986864,-0.54692274,-0.6172232,0.2344968,0.32324395,0.90125203,0.28801918,0.0125,0.005499605,0.99790025,0.074603386,0.09328359,False
0.13,-538.5412,143.8475,129.40878,107.647705,81.53938,54.408394,29.334473,8.662241,-6.2881155,-15.270214,-18.943493,-18.559406,-15.597718,-11.444422,-7.1755977,-3.4717498,-0.6484511,1.2385898,2.265798,2.5371916,-8.048588,1.2795881,0.9800982,2.0872698,1.521581,0.7424876,0.7786715,0.29959685,0.0053780833,-0.74304885,-0.70459396,-0.4372249,0.6136997,-0.047200076,-0.9275416,-0.6820057,0.28267238,0.46551841,0.78159595,0.8833288,0.015,0.0051829102,0.993153,0.07030735,0.1119403,False
0.14,-538.9042,143.38496,129.08997,107.54065,81.67253,54.76107,29.835566,9.200762,-5.8404,-15.0273695,-18.973156,-18.859657,-16.092274,-12.00045,-7.6410685,-3.7217712,-0.62543803,1.5053236,2.669467,2.9301014,-3.2143595,-0.5912514,-0.8154032,0.7627875,1.4850333,1.2577976,1.257796,0.6674709,0.0855632,-0.95952183,-0.60850346,-0.80783004,-0.13640428,-0.3133029,-0.8224824,-0.21306808,0.059530426,0.61099184,0.5179438,0.49094996,0.015,0.0050149737,0.98632526,0.068029255,0.1119403,False
0.15,-539.6475,142.4654,128.52701,107.4552,82.04903,55.456833,30.627785,9.854282,-5.506299,-15.093526,-19.407902,-19.539333,-16.844633,-12.655233,-8.072242,-3.8713944,-0.5064265,1.8233349,3.0834582,3.3284922,-1.3394887,-1.186954,-0.7751096,-0.03509013,0.7194393,1.0132402,1.019768,0.8429285,0.2969823,-0.29739293,-0.71078616,-0.9344264,-0.9067524,-0.833625,-0.4556493,-0.05152081,0.1635625,0.6101015,0.51389134,0.2997182,0.015,0.004924443,0.97783756,0.06680118,0.1119403,False
0.16,-541.381,140.32883,127.24257,107.311935,83.00914,57.176823,32.569336,11.447084,-4.702222,-15.274805,-20.49371,-21.218786,-18.683048,-14.221537,-9.048605,-4.1173835,-0.06815523,2.751058,4.2225704,4.3887625,-0.8139486,-1.01965,-0.6648445,-0.19248657,0.25931713,0.5636024,0.64280945,0.4895877,0.16437204,-0.22783612,-0.5723343,-0.77906346,-0.8057582,-0.6641343,-0.40958017,-0.11996802,0.12840374,0.2803139,0.3120969,0.23220411,0.0125,0.0047021345,0.96794647,0.06378552,0.09328359,False
0.17,-543.90314,137.2017,125.31482,107.01694,84.33854,59.68754,35.509827,13.966394,-3.3220363,-15.427582,-22.151413,-23.951668,-21.788805,-16.924276,-10.71039,-4.403532,0.9771575,4.735656,6.5298786,6.3552747,-0.51250917,-0.6622892,-0.4928163,-0.2649226,-0.04271876,0.113557816,0.16523825,0.105699554,-0.039365735,-0.22145721,-0.3850317,-0.48424467,-0.49544817,-0.42198297,-0.29053286,-0.14100572,-0.013717348,0.061947796,0.07420361,0.029501501,0.0125,0.0043231305,0.95688426,0.058644243,0.09328359,False
0.18,-544.5748,136.34903,124.72122,106.75813,84.37894,59.89235,35.690628,13.944972,-3.6526828,-16.065638,-22.984985,-24.794872,-22.443756,-17.24872,-10.668391,-4.081814,1.3937466,5.022487,6.496524,5.910912,-0.08061218,-0.13976364,-0.20860304,-0.29803148,-0.37896767,-0.42520887,-0.42159232,-0.36818656,-0.2793081,-0.17810372,-0.08888315,-0.029978815,-0.009405995,-0.024322033,-0.06382578,-0.11352875,-0.16002493,-0.19382843,-0.210315,-0.20910527,0.0125,0.0037313045,0.94471014,0.050615992,0.09328359,False
0.19,-543.8217,137.20645,125.01314,106.28186,83.143036,58.114826,33.739933,12.239941,-4.7565804,-16.37275,-22.512337,-23.767117,-21.231758,-16.268637,-10.268784,-4.4495897,0.28304112,3.3968337,4.7240925,4.3990197,0.3544464,0.38887152,0.08643964,-0.31305796,-0.68826395,-0.9277791,-0.96410507,-0.79228675,-0.467908,-0.08633814,0.24871905,0.45640132,0.4996211,0.3902587,0.17893153,-0.065222,-0.27680174,-0.41106784,-0.4513215,-0.40658718,0.0125,0.0031283202,0.9314681,0.042436372,0.09328359,False
0.2,-542.26227,139.05756,125.90038,105.86484,81.4438,55.508427,30.845823,9.746401,-6.284157,-16.6448,-21.586735,-22.021055,-19.244705,-14.652533,-9.495899,-4.7275343,-0.9450301,1.5806088,2.822915,2.9024653,0.6171499,0.71260506,0.2803201,-0.29448777,-0.84129816,-1.2010304,-1.2733476,-1.0441478,-0.5854224,-0.029097876,0.4752435,0.8044306,0.89381415,0.7488588,0.4350746,0.05215342,-0.29765055,-0.53658396,-0.62680256,-0.57201767,0.0125,0.0029243086,0.9172032,0.03966891,0.09328359,False
